product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
Riverside Board Wall Shop Deck,Town and Country Skateboards,,45.000,2024-08-29,2024-W35,2024-08,2024-07,2024,4,180.000,-10.000,0.000,170.000,13.600,183.600,120.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-06-06,2024-W23,2024-06,2024-04,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
WATER,Town and Country Skateboards,,1.000,2023-02-10,2023-W06,2023-02,2023-01,2023,4,4.000,0.000,0.000,4.000,0.320,4.320,0.000
NETJES BIRDS DECKS (ASSORTED SIZES),Town and Country Skateboards,,45.000,2023-08-25,2023-W34,2023-08,2023-07,2023,4,180.000,-180.000,0.000,0.000,0.000,0.000,80.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-19,2024-W12,2024-03,2024-01,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Andrew Reynolds 480- Cream and Brown,Town and Country Skateboards,,109.990,2024-07-21,2024-W29,2024-07,2024-07,2024,4,439.960,0.000,0.000,439.960,0.000,439.960,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2024-03-10,2024-W10,2024-03,2024-01,2024,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
NEW BALANCE NUMERIC 272 BLUE/ORANGE,Town and Country Skateboards,,30.000,2023-05-07,2023-W18,2023-05,2023-04,2023,4,120.000,0.000,0.000,120.000,0.000,120.000,160.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-19,2024-W16,2024-04,2024-04,2024,4,40.000,-4.000,0.000,36.000,0.000,36.000,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-02-28,2023-W09,2023-02,2023-01,2023,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
Shop Slappy Van Tee Cream,Town and Country Skateboards,,24.990,2024-05-18,2024-W20,2024-05,2024-04,2024,4,99.960,-1.250,0.000,98.710,7.900,106.610,43.520
Yerba,,,3.000,2023-03-24,2023-W12,2023-03,2023-01,2023,4,12.000,0.000,0.000,12.000,0.960,12.960,0.000
Yerba,,,3.000,2023-03-12,2023-W10,2023-03,2023-01,2023,4,12.000,0.000,0.000,12.000,0.960,12.960,0.000
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-07-14,2024-W28,2024-07,2024-07,2024,4,120.000,0.000,0.000,120.000,4.800,124.800,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-02-17,2023-W07,2023-02,2023-01,2023,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-04-19,2024-W16,2024-04,2024-04,2024,4,14.000,0.000,0.000,14.000,1.120,15.120,9.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-03-01,2023-W09,2023-03,2023-01,2023,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-17,2025-W03,2025-01,2025-01,2025,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Ld,,,2.000,2023-06-24,2023-W25,2023-06,2023-04,2023,4,8.000,0.000,0.000,8.000,0.640,8.640,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-22,2024-W12,2024-03,2024-01,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Pepper,,,5.000,2024-11-24,2024-W47,2024-11,2024-10,2024,4,20.000,0.000,0.000,20.000,1.600,21.600,0.000
Yerba,,,3.000,2023-08-10,2023-W32,2023-08,2023-07,2023,4,12.000,0.000,0.000,12.000,0.960,12.960,0.000
